nuclide,original_nuclide,total_atom_number,total_activity_Bq,total_activity_GBq,is_stable,decay_constant,half_life,half_life_seconds
Zn62,Zn62,238222.3128,4.993199932,4.99E-09,不稳定,2.10E-05,9.19 小时,33069.6
Pd96,Pd96,235531.0269,1338.1776,1.34E-06,不稳定,0.005681534,2.03 分钟,122
Sm155,Sm155,231324.0866,119.8368,1.20E-07,不稳定,0.000518047,22.30 分钟,1338
Cd115m,Cd-115m,230796.9548,0.041515181,4.15E-11,不稳定,1.80E-07,44.60 天,3853440
Mn52,Mn-52,210310.5366,0.301775,3.02E-10,不稳定,1.43E-06,5.59 天,483062.4
As79,As79,206397.9654,264.6396,2.65E-07,不稳定,0.001282181,9.01 分钟,540.6
Gd155,Gd-155,205161.1042,0,0,稳定,0,稳定,inf
Pr146,Pr146,187885.9874,89.8776,8.99E-08,不稳定,0.000478362,24.15 分钟,1449
Rh94,Rh94,177493.9804,1742.6268,1.74E-06,不稳定,0.009817949,1.18 分钟,70.6
Rh96m,Rh-96m,174910.7462,1338.1776,1.34E-06,不稳定,0.007650631,1.51 分钟,90.6
Ag101,Ag101,172715.0691,179.7552,1.80E-07,不稳定,0.001040762,11.10 分钟,666
Rn223,Rn223,168047.2245,79.89126192,7.99E-08,不稳定,0.00047541,24.30 分钟,1458
In119m,In-119m,154198.9245,98.96532386,9.90E-08,不稳定,0.000641803,18.00 分钟,1080
Cd118,Cd118,152184.6242,34.9524,3.50E-08,不稳定,0.000229671,50.30 分钟,3018
Rh97m,Rh-97m,147831.5159,36.96572814,3.70E-08,不稳定,0.000250053,46.20 分钟,2772
Zn69,Zn-69,146263.2117,29.9592,3.00E-08,不稳定,0.000204831,56.40 分钟,3384
Pr148,Pr148,143518.6154,724.014,7.24E-07,不稳定,0.005044739,2.29 分钟,137.4
Ag103,Ag-103,141984.2347,24.966,2.50E-08,不稳定,0.000175836,1.09 小时,3942
Zr87,Zr-87,130703.2955,14.9796,1.50E-08,不稳定,0.000114608,1.68 小时,6048
Ge75,Ge75,107337.4882,14.9796,1.50E-08,不稳定,0.000139556,1.38 小时,4966.8
Te125m,Te-125m,103964.1497,0.014530596,1.45E-11,不稳定,1.40E-07,57.40 天,4959360
Sm157,Sm157,100651.0464,144.8028,1.45E-07,不稳定,0.001438662,8.03 分钟,481.8
Cu59,Cu59,96871.28345,823.878,8.24E-07,不稳定,0.008504873,1.36 分钟,81.5
Pm153,Pm153,95304.48634,209.7144,2.10E-07,不稳定,0.002200467,5.25 分钟,315
Se79m,Se-79m,87272.88501,257.1979344,2.57E-07,不稳定,0.002947054,3.92 分钟,235.2
Ag112,Ag-112,81135.90524,4.991047564,4.99E-09,不稳定,6.15E-05,3.13 小时,11268
Eu158,Eu158,79355.5723,19.9728,2.00E-08,不稳定,0.000251687,45.90 分钟,2754
Tc93,Tc93,71316.28229,4.9932,4.99E-09,不稳定,7.00E-05,2.75 小时,9900
Tc92,Tc-92,66129.64358,179.7552,1.80E-07,不稳定,0.002718224,4.25 分钟,255
Rh108,Rh-108,63173.25952,2606.4504,2.61E-06,不稳定,0.041258761,16.80 秒,16.8
Ru92,Ru92,56793.6939,179.7552,1.80E-07,不稳定,0.003165056,3.65 分钟,219
Rh103m,Rh-103m,56542.26019,11.64062095,1.16E-08,不稳定,0.000205875,56.11 分钟,3366.84
Mn52m,Mn-52m,45599.19859,24.96599995,2.50E-08,不稳定,0.00054751,21.10 分钟,1266
Zn60,Zn60,44233.38382,214.7076,2.15E-07,不稳定,0.004853972,2.38 分钟,142.8
Sn119m,Sn-119m,40396.98621,0.001105719,1.11E-12,不稳定,2.74E-08,293.10 天,25323840
Sr81,Sr-81,38554.01443,19.9728,2.00E-08,不稳定,0.000518047,22.30 分钟,1338
Pb211,Pb-211,36979.43736,11.833884,1.18E-08,不稳定,0.000320013,36.10 分钟,2166
Zr90,Zr-90,36551.94731,0,0,稳定,0,稳定,inf
Nb99,Nb99,36414.52596,1682.7084,1.68E-06,不稳定,0.046209812,15.00 秒,15
Pm154,Pm154,35891.53989,239.6736,2.40E-07,不稳定,0.006677719,1.73 分钟,103.8
Tc102,Tc-102,34688.23971,4553.7984,4.55E-06,不稳定,0.131277875,5.28 秒,5.28
Sm142,Sm-142,31331.62002,4.9932,4.99E-09,不稳定,0.000159366,1.21 小时,4349.4
Mo91,Mo-91,26593.41775,19.83338986,1.98E-08,不稳定,0.000745801,15.49 分钟,929.4
Cd119,Cd119,25578.77325,109.8504,1.10E-07,不稳定,0.004294592,2.69 分钟,161.4
Ga74,Ga74,24567.3787,34.9524,3.50E-08,不稳定,0.001422716,8.12 分钟,487.2
Eu159,Eu159,23469.54017,14.9796,1.50E-08,不稳定,0.000638257,18.10 分钟,1086
Ag117,Ag117,22267.96887,209.7144,2.10E-07,不稳定,0.009417761,1.23 分钟,73.6
Ba134,Ba-134,19765.13121,0,0,稳定,0,稳定,inf
Cd103,Cd-103,15776.02608,24.966,2.50E-08,不稳定,0.001582528,7.30 分钟,438
In115m,In-115m,15351.60612,0.65889697,6.59E-10,不稳定,4.29E-05,4.49 小时,16149.6
Sb121,Sb-121,14876.40058,0,0,稳定,0,稳定,inf
Pr144,Pr-144,14728.71369,9.846803979,9.85E-09,不稳定,0.000668545,17.28 分钟,1036.8
Fe53,Fe53,14712.76515,19.9728,2.00E-08,不稳定,0.001357515,8.51 分钟,510.6
Gd162,Gd162,14522.58839,19.9728,2.00E-08,不稳定,0.001375292,8.40 分钟,504
Tb162,Tb-162,13139.48474,19.9728,2.00E-08,不稳定,0.00152006,7.60 分钟,456
Ag116,Ag116,12741.84244,54.9252,5.49E-08,不稳定,0.004310617,2.68 分钟,160.8
Pd114,Pd114,10459.7214,49.932,4.99E-08,不稳定,0.004773741,2.42 分钟,145.2
Zn61,Zn61,8985.851569,69.9048,6.99E-08,不稳定,0.00777943,1.48 分钟,89.1
Ag115,Ag115,8644.397854,4.9932,4.99E-09,不稳定,0.000577623,20.00 分钟,1200
Cu69,Cu69,7390.960165,29.9592,3.00E-08,不稳定,0.004053492,2.85 分钟,171
Ga65,Ga65,6569.742369,4.9932,4.99E-09,不稳定,0.00076003,15.20 分钟,912
Ga64,Ga64,5677.20829,24.966,2.50E-08,不稳定,0.004397584,2.63 分钟,157.62
Nb91m,Nb-91m,5542.083343,0.000730555,7.31E-13,不稳定,1.32E-07,60.86 天,5258304
Tc91,Tc91,5428.681852,19.9728,2.00E-08,不稳定,0.003679125,3.14 分钟,188.4
Zn71,Zn71,5294.693685,24.966,2.50E-08,不稳定,0.004715287,2.45 分钟,147
Nb87,Nb87,4862.473793,14.9796,1.50E-08,不稳定,0.003080654,3.75 分钟,225
Sm147,Sm-147,3871.822476,8.02E-16,8.02E-25,不稳定,2.07E-19,106070337534.25 年,3.35E+18
In121,In121,2995.283856,89.8776,8.99E-08,不稳定,0.030006371,23.10 秒,23.1
Eu151,Eu-151,2607.692262,0,0,稳定,0,稳定,inf
In119,In-119,2188.679712,10.53525814,1.05E-08,不稳定,0.004813522,2.40 分钟,144
In103,In103,2161.099463,24.966,2.50E-08,不稳定,0.011552453,1.00 分钟,60
Y81,Y81,2028.55203,19.9728,2.00E-08,不稳定,0.009845841,1.17 分钟,70.4
Po214,Po-214,1917.370666,8088984,0.008088984,不稳定,4218.7899,1.64e-04 秒,0.0001643
Rh109,Rh109,1728.879571,14.9796,1.50E-08,不稳定,0.00866434,1.33 分钟,80
Ba137m,Ba-137m,1566.776497,7.09252032,7.09E-09,不稳定,0.004526823,2.55 分钟,153.12
Cd101,Cd101,1175.638108,9.9864,9.99E-09,不稳定,0.008494451,1.36 分钟,81.6
Rh106,Rh-106,781.3059104,18.17315399,1.82E-08,不稳定,0.023259973,29.80 秒,29.8
Gd142,Gd142,505.6972744,4.9932,4.99E-09,不稳定,0.009873891,1.17 分钟,70.2
Ag114,Ag-114,331.3685844,49.932,4.99E-08,不稳定,0.15068417,4.60 秒,4.6
Bi212,Bi-212,327.1363727,0.062414989,6.24E-11,不稳定,0.000190792,1.01 小时,3633
Bi215,Bi-215,319.2808902,0.485325984,4.85E-10,不稳定,0.00152006,7.60 分钟,456
Bi214,Bi-214,256.2637778,0.148767601,1.49E-10,不稳定,0.000580525,19.90 分钟,1194
In118,In-118,252.1282707,34.9524,3.50E-08,不稳定,0.138629436,5.00 秒,5
Cu57,Cu57,83.43068552,294.5988,2.95E-07,不稳定,3.531060522,1.96e-01 秒,0.1963
Rb81m,Rb-81m,76.04839857,0.028804772,2.88E-11,不稳定,0.000378769,30.50 分钟,1830
Pr144m,Pr-144m,60.60960355,0.097248555,9.72E-11,不稳定,0.001604507,7.20 分钟,432
At219,At-219,40.80988157,0.505129542,5.05E-10,不稳定,0.012377628,56.00 秒,56
At218,At-218,34.35655839,15.87610106,1.59E-08,不稳定,0.46209812,1.50 秒,1.5
Pb210,Pb-210,19.87961587,1.97E-08,1.97E-17,不稳定,9.89E-10,22.21 年,700563759
Eu142,Eu-142,16.85657581,4.9932,4.99E-09,不稳定,0.296216744,2.34 秒,2.34
Mo91m,Mo-91m,12.99071292,0.139388174,1.39E-10,不稳定,0.010729833,1.08 分钟,64.6
Nb93m,Nb-93m,10.85628808,1.48E-08,1.48E-17,不稳定,1.36E-09,16.14 年,509013217.7
Ag107,Ag-107,2.808675,0,0,稳定,0,稳定,inf
Bi213,Bi-213,1.083639718,0.000274593,2.75E-13,不稳定,0.000253399,45.59 分钟,2735.4
Sb126m,Sb-126m,0.248799223,0.000150091,1.50E-13,不稳定,0.000603261,19.15 分钟,1149
Ba135,Ba-135,0.101993874,0,0,稳定,0,稳定,inf
At217,At-217,1.28E-05,0.000274626,2.75E-13,不稳定,21.45966503,3.23e-02 秒,0.0323
Tl208,Tl-208,3.28E-10,1.24E-12,1.24E-21,不稳定,0.003783968,3.05 分钟,183.18
Tl210,Tl-210,1.58E-13,1.41E-15,1.41E-24,不稳定,0.008886502,1.30 分钟,78
Po212,Po-212,9.53E-19,2.21E-12,2.21E-21,不稳定,2318217.995,2.99e-07 秒,2.99E-07
Pm142,Pm-142,0,0,0,不稳定,0.017114745,40.50 秒,40.5
Br79,Br-79,0,0,0,稳定,0,稳定,inf
Cr53,Cr-53,0,0,0,稳定,0,稳定,inf
Xe129,Xe-129,0,0,0,稳定,0,稳定,inf
Tl209,Tl-209,0,0,0,不稳定,0.005345883,2.16 分钟,129.66
Sn115,Sn-115,0,0,0,稳定,0,稳定,inf
In115,In-115,0,0,0,不稳定,4.98E-23,441292630684931.50 年,1.39E+22
In117,In-117,0,0,0,不稳定,0.000267418,43.20 分钟,2592
Kr81,Kr-81,0,0,0,不稳定,9.59E-14,229151.96 年,7.22654E+12
Y87,Y-87,0,0,0,不稳定,2.41E-06,3.33 天,287280
Sn117,Sn-117,0,0,0,稳定,0,稳定,inf
Bi211,Bi-211,0,0,0,不稳定,0.005398343,2.14 分钟,128.4
Hg206,Hg-206,0,0,0,不稳定,0.001417479,8.15 分钟,489
Kr81m,Kr-81m,0,0,0,不稳定,0.052911999,13.10 秒,13.1
Nb93,Nb-93,0,0,0,稳定,0,稳定,inf
Po213,Po-213,0,0,0,不稳定,165035.043,4.20e-06 秒,4.20E-06
Pb208,Pb-208,0,0,0,稳定,0,稳定,inf
Bi210,Bi-210,0,0,0,不稳定,1.60E-06,5.01 天,433123.2
Sr87,Sr-87,-407814.7384,0,0,稳定,0,稳定,inf
Nd144,Nd-144,-350301749.7,-3.36E-15,-3.36E-24,不稳定,9.59E-24,2291519556164383.50 年,7.23E+22
