nuclide,original_nuclide,total_atom_number,total_activity_Bq,total_activity_GBq,is_stable,decay_constant,half_life,half_life_seconds
Cd115,Cd-115,11652591.95,41.96783296,4.20E-08,不稳定,3.60E-06,2.23 天,192456
Se83,Se83,10775847.03,5582.3976,5.58E-06,不稳定,0.000518047,22.30 分钟,1338
Ag99,Ag99,10592211.21,59209.3656,5.92E-05,不稳定,0.005589897,2.07 分钟,124
Kr82,Kr-82,10527336.09,0,0,稳定,0,稳定,inf
Cd103,Cd-103,10364533.62,16402.16268,1.64E-05,不稳定,0.001582528,7.30 分钟,438
Mo90,Mo90,9617376.699,333.04644,3.33E-07,不稳定,3.46E-05,5.56 小时,20016
Pd98,Pd98,9302755.194,6071.7312,6.07E-06,不稳定,0.000652681,17.70 分钟,1062
Dy164,Dy-164,9013810.813,0,0,稳定,0,稳定,inf
Cs134,Cs134,8760493.724,0.093192585,9.32E-11,不稳定,1.06E-08,2.07 年,65158740.97
I127,I-127,8742605.205,0,0,稳定,0,稳定,inf
Zr91,Zr-91,8382159.809,0,0,稳定,0,稳定,inf
Nd149,Nd149,8335135.876,928.7352,9.29E-07,不稳定,0.000111424,1.73 小时,6220.8
Cd117,Cd-117,8141263.297,629.5285252,6.30E-07,不稳定,7.73E-05,2.49 小时,8964
Rh96,Rh96,8100103.343,9452.1276,9.45E-06,不稳定,0.001166914,9.90 分钟,594
Ga72,Ga-72,8086908.678,110.4298256,1.10E-07,不稳定,1.37E-05,14.10 小时,50760
Sb133,Sb133,7985262.517,36899.748,3.69E-05,不稳定,0.004620981,2.50 分钟,150
Kr89,Kr89,7896657.439,28960.56,2.90E-05,不稳定,0.003667445,3.15 分钟,189
Nb89,Nb89,7791368.674,738.9936,7.39E-07,不稳定,9.48E-05,2.03 小时,7308
Nb96,Nb96,7502650.892,61.86582575,6.19E-08,不稳定,8.25E-06,23.35 小时,84060
Cu62,Cu62,7471202.177,8922.848348,8.92E-06,不稳定,0.001194299,9.67 分钟,580.38
Ru108,Ru108,7154492.662,18165.2616,1.82E-05,不稳定,0.002539001,4.55 分钟,273
Ga65,Ga65,7101891.501,5397.6492,5.40E-06,不稳定,0.00076003,15.20 分钟,912
Nb95m,Nb-95m,7067972.101,15.7072206,1.57E-08,不稳定,2.22E-06,3.61 天,311904
Nd152,Nd152,6986921.009,7080.3576,7.08E-06,不稳定,0.001013373,11.40 分钟,684
Tc93,Tc93,6839231.472,478.84788,4.79E-07,不稳定,7.00E-05,2.75 小时,9900
Ag104,Ag104,6729751.035,1123.484575,1.12E-06,不稳定,0.000166943,1.15 小时,4152
Fe52,Fe52,6673972.184,155.2885197,1.55E-07,不稳定,2.33E-05,8.28 小时,29790
Sn129,Sn129,6101172.783,31606.956,3.16E-05,不稳定,0.005180472,2.23 分钟,133.8
Nd151,Nd151,5936004.273,5512.4928,5.51E-06,不稳定,0.000928654,12.44 分钟,746.4
In117m,In-117m,5794308.959,576.0626676,5.76E-07,不稳定,9.94E-05,1.94 小时,6972
Sr94,Sr94,5646758.399,51979.212,5.20E-05,不稳定,0.009205142,1.25 分钟,75.3
Zr87,Zr-87,5097428.526,584.2044,5.84E-07,不稳定,0.000114608,1.68 小时,6048
Zn63,Zn63,4572562.3,1373.13,1.37E-06,不稳定,0.000300298,38.47 分钟,2308.2
Cd105,Cd-105,4557758.768,948.708,9.49E-07,不稳定,0.000208152,55.50 分钟,3330
Tc94,Tc94,4495735.214,177.2586,1.77E-07,不稳定,3.94E-05,4.88 小时,17580
Ru107,Ru107,4468613.416,13766.2524,1.38E-05,不稳定,0.003080654,3.75 分钟,225
Kr80,Kr-80,4438656.792,0,0,稳定,0,稳定,inf
Ho165,Ho-165,4423740.595,0,0,稳定,0,稳定,inf
Cs140,Cs140,4350120.332,47335.536,4.73E-05,不稳定,0.010881431,1.06 分钟,63.7
Ag107,Ag-107,4296837.23,0,0,稳定,0,稳定,inf
Tb160,Tb160,4278329.541,0.474731068,4.75E-10,不稳定,1.11E-07,72.30 天,6246720
Sb124,Sb124,4238024.141,0.564779147,5.65E-10,不稳定,1.33E-07,60.20 天,5201280
As73,As-73,4120948.211,0.411711815,4.12E-10,不稳定,9.99E-08,80.30 天,6937920
Er166,Er-166,3997240.556,0,0,稳定,0,稳定,inf
Dy166,Dy166,3846899.588,9.077027517,9.08E-09,不稳定,2.36E-06,3.40 天,293760
Cd112,Cd-112,3687813.94,0,0,稳定,0,稳定,inf
Se84,Se84,3215716.002,11983.68,1.20E-05,不稳定,0.003726598,3.10 分钟,186
Eu147,Eu-147,3053023.594,1.016306812,1.02E-09,不稳定,3.33E-07,24.10 天,2082240
As69,As69,2981967.161,2261.9196,2.26E-06,不稳定,0.000758533,15.23 分钟,913.8
Sr81,Sr-81,2814828.593,1458.214128,1.46E-06,不稳定,0.000518047,22.30 分钟,1338
Br82,Br82,2803309.537,15.29041629,1.53E-08,不稳定,5.45E-06,1.47 天,127080
Pr147,Pr147,2780038.35,2396.736,2.40E-06,不稳定,0.000862123,13.40 分钟,804
Pm152,Pm-152,2769059.965,7764.426,7.76E-06,不稳定,0.002803993,4.12 分钟,247.2
Ga64,Ga64,2708028.355,11908.782,1.19E-05,不稳定,0.004397584,2.63 分钟,157.62
Tc97m,Tc-97m,2655512.794,0.236447826,2.36E-10,不稳定,8.90E-08,90.10 天,7784640
Rb90,Rb90,2655371.725,11649.1356,1.16E-05,不稳定,0.004387007,2.63 分钟,158
I130,I130,2631582.618,40.99411346,4.10E-08,不稳定,1.56E-05,12.36 小时,44496
Zr86,Zr86,2229253.754,26.01348408,2.60E-08,不稳定,1.17E-05,16.50 小时,59400
Rh95,Rh95,2228326.946,5128.0164,5.13E-06,不稳定,0.002301285,5.02 分钟,301.2
Ce145,Ce145,2216873.118,8508.4128,8.51E-06,不稳定,0.003838024,3.01 分钟,180.6
Cd115m,Cd-115m,2155643.558,0.387751789,3.88E-10,不稳定,1.80E-07,44.60 天,3853440
As68,As68,2042181.364,9337.284,9.34E-06,不稳定,0.004572211,2.53 分钟,151.6
Y86,Y-86,1990978.449,26.00710649,2.60E-08,不稳定,1.31E-05,14.74 小时,53064
Cd117m,Cd-117m,1852747.969,106.1695628,1.06E-07,不稳定,5.73E-05,3.36 小时,12096
Y90,Y-90,1772832.445,5.325159521,5.33E-09,不稳定,3.00E-06,2.67 天,230760
Ga68,Ga68,1647467.466,281.0853713,2.81E-07,不稳定,0.000170617,1.13 小时,4062.6
Zn60,Zn60,1607832.068,7804.3716,7.80E-06,不稳定,0.004853972,2.38 分钟,142.8
Pr146,Pr146,1482211.678,709.0344,7.09E-07,不稳定,0.000478362,24.15 分钟,1449
Sm155,Sm155,1407221.527,729.0072,7.29E-07,不稳定,0.000518047,22.30 分钟,1338
Y85m,Y-85m,1403619.447,55.60784534,5.56E-08,不稳定,3.96E-05,4.86 小时,17496
In103,In103,1389586.955,16053.138,1.61E-05,不稳定,0.011552453,1.00 分钟,60
Mn52,Mn-52,1308131.538,1.877040497,1.88E-09,不稳定,1.43E-06,5.59 天,483062.4
Gd155,Gd-155,1266009.454,0,0,稳定,0,稳定,inf
Br85,Br85,1179484.865,4698.6012,4.70E-06,不稳定,0.003983604,2.90 分钟,174
Te125,Te-125,1174523.781,0,0,稳定,0,稳定,inf
Ho166,Ho-166,1172380.688,8.422806473,8.42E-09,不稳定,7.18E-06,1.12 天,96480
Ag102m,Ag-102m,1117957.084,1677.291777,1.68E-06,不稳定,0.001500319,7.70 分钟,462
Pr148,Pr148,1079853.858,5447.5812,5.45E-06,不稳定,0.005044739,2.29 分钟,137.4
Co61,Co61,1069744.234,124.83,1.25E-07,不稳定,0.000116691,1.65 小时,5940
Gd147,Gd-147,1013941.374,5.124020154,5.12E-09,不稳定,5.05E-06,1.59 天,137160
Pd97,Pd97,963910.8715,3592.10808,3.59E-06,不稳定,0.003726598,3.10 分钟,186
Rn218,Rn-218,935433.1994,18525510.99,0.018525511,不稳定,19.80420516,3.50e-02 秒,0.035
Cd118,Cd118,923978.0756,212.211,2.12E-07,不稳定,0.000229671,50.30 分钟,3018
Fr222,Fr222,908353.3265,738.9936,7.39E-07,不稳定,0.000813553,14.20 分钟,852
Mo91,Mo-91,873675.3994,651.5877339,6.52E-07,不稳定,0.000745801,15.49 分钟,929.4
Cd102,Cd102,843909.3405,1772.586,1.77E-06,不稳定,0.002100446,5.50 分钟,330
Cd101,Cd101,812365.9327,6900.6024,6.90E-06,不稳定,0.008494451,1.36 分钟,81.6
Zn61,Zn61,798457.0966,6211.5408,6.21E-06,不稳定,0.00777943,1.48 分钟,89.1
Pm153,Pm153,746551.8096,1642.7628,1.64E-06,不稳定,0.002200467,5.25 分钟,315
Sm157,Sm157,746206.0337,1073.538,1.07E-06,不稳定,0.001438662,8.03 分钟,481.8
Eu158,Eu158,700312.9255,176.25996,1.76E-07,不稳定,0.000251687,45.90 分钟,2754
Se81,Se81,677031.401,423.92268,4.24E-07,不稳定,0.000626149,18.45 分钟,1107
Sm142,Sm-142,651697.6964,103.85856,1.04E-07,不稳定,0.000159366,1.21 小时,4349.4
Nb88,Nb88,555272.8961,442.39752,4.42E-07,不稳定,0.000796721,14.50 分钟,870
In119m,In-119m,548807.9904,352.2265845,3.52E-07,不稳定,0.000641803,18.00 分钟,1080
Pd112,Pd112,545174.9545,4.991367922,4.99E-09,不稳定,9.16E-06,21.03 小时,75708
Se71,Se71,497839.5168,1213.3476,1.21E-06,不稳定,0.002437226,4.74 分钟,284.4
Ag105m,Ag-105m,492584.9033,787.076618,7.87E-07,不稳定,0.00159785,7.23 分钟,433.8
Se73,Se73,473853.1465,12.76029419,1.28E-08,不稳定,2.69E-05,7.15 小时,25740
Rh108,Rh-108,463512.6129,19123.956,1.91E-05,不稳定,0.041258761,16.80 秒,16.8
Tc92,Tc-92,443068.612,1204.35984,1.20E-06,不稳定,0.002718224,4.25 分钟,255
Pm150,Pm150,435076.0017,31.257432,3.13E-08,不稳定,7.18E-05,2.68 小时,9648
In105,In105,416357.4226,948.708,9.49E-07,不稳定,0.00227859,5.07 分钟,304.2
Ni65,Ni65,408645.1346,31.257432,3.13E-08,不稳定,7.65E-05,2.52 小时,9061.884
Br74,Br-74,400711.0625,182.2518,1.82E-07,不稳定,0.000454821,25.40 分钟,1524
Rh94,Rh94,371771.0592,3650.0292,3.65E-06,不稳定,0.009817949,1.18 分钟,70.6
Te125m,Te-125m,342608.4626,0.047884826,4.79E-11,不稳定,1.40E-07,57.40 天,4959360
Pd96,Pd96,325173.4326,1847.484,1.85E-06,不稳定,0.005681534,2.03 分钟,122
Mn52m,Mn-52m,283627.0152,155.2885197,1.55E-07,不稳定,0.00054751,21.10 分钟,1266
As79,As79,283505.1298,363.50496,3.64E-07,不稳定,0.001282181,9.01 分钟,540.6
Eu159,Eu159,276158.256,176.25996,1.76E-07,不稳定,0.000638257,18.10 分钟,1086
Br75,Br-75,261640.8543,31.257432,3.13E-08,不稳定,0.000119467,1.61 小时,5802
Pm154,Pm154,254979.4813,1702.6812,1.70E-06,不稳定,0.006677719,1.73 分钟,103.8
Nb99,Nb99,249282.8231,11519.3124,1.15E-05,不稳定,0.046209812,15.00 秒,15
Te124,Te-124,248665.6514,0,0,稳定,0,稳定,inf
Rh96m,Rh-96m,241481.254,1847.484,1.85E-06,不稳定,0.007650631,1.51 分钟,90.6
Cu66,Cu66,241213.2777,544.2588,5.44E-07,不稳定,0.002256338,5.12 分钟,307.2
Tc102,Tc-102,233784.2822,30690.7038,3.07E-05,不稳定,0.131277875,5.28 秒,5.28
Mn56,Mn56,209331.6233,15.628716,1.56E-08,不稳定,7.47E-05,2.58 小时,9284.04
Sn119m,Sn-119m,208852.4187,0.005716568,5.72E-12,不稳定,2.74E-08,293.10 天,25323840
Dy160,Dy-160,208360.2508,0,0,稳定,0,稳定,inf
Nb87,Nb87,189636.4779,584.2044,5.84E-07,不稳定,0.003080654,3.75 分钟,225
Nb91m,Nb-91m,182029.4881,0.023995042,2.40E-11,不稳定,1.32E-07,60.86 天,5258304
Kr74,Kr74,181424.3,182.2518,1.82E-07,不稳定,0.001004561,11.50 分钟,690
Ru92,Ru92,178584.6153,565.23024,5.65E-07,不稳定,0.003165056,3.65 分钟,219
Sn111,Sn-111,175459.6654,57.4218,5.74E-08,不稳定,0.000327265,35.30 分钟,2118
Cd107,Cd-107,175308.3885,5.192928,5.19E-09,不稳定,2.96E-05,6.50 小时,23400
Dy165,Dy-165,173050.1171,14.27558802,1.43E-08,不稳定,8.25E-05,2.33 小时,8402.4
Ge73,Ge-73,172902.3534,0,0,稳定,0,稳定,inf
Y85,Y85,170504.0611,12.24962782,1.22E-08,不稳定,7.18E-05,2.68 小时,9648
Rh97m,Rh-97m,166954.4623,41.74748011,4.17E-08,不稳定,0.000250053,46.20 分钟,2772
Y81,Y81,147577.1602,1453.0212,1.45E-06,不稳定,0.009845841,1.17 分钟,70.4
Zn69,Zn-69,146263.2117,29.9592,3.00E-08,不稳定,0.000204831,56.40 分钟,3384
Cu59,Cu59,144602.4067,1229.82516,1.23E-06,不稳定,0.008504873,1.36 分钟,81.5
In115m,In-115m,143384.0012,6.154097697,6.15E-09,不稳定,4.29E-05,4.49 小时,16149.6
Tc91,Tc91,137074.2168,504.3132,5.04E-07,不稳定,0.003679125,3.14 分钟,188.4
Se79m,Se-79m,119876.7175,353.2832005,3.53E-07,不稳定,0.002947054,3.92 分钟,235.2
Y83,Y83,108634.1478,177.2586,1.77E-07,不稳定,0.001631702,7.08 分钟,424.8
Ge75,Ge75,107337.4882,14.9796,1.50E-08,不稳定,0.000139556,1.38 小时,4966.8
Cd104,Cd104,103995.9962,20.821644,2.08E-08,不稳定,0.000200216,57.70 分钟,3462
Pr144,Pr-144,102350.6956,68.42601861,6.84E-08,不稳定,0.000668545,17.28 分钟,1036.8
Fe53,Fe53,95265.15433,129.32388,1.29E-07,不稳定,0.001357515,8.51 分钟,510.6
Cd119,Cd119,91037.17934,390.96756,3.91E-07,不稳定,0.004294592,2.69 分钟,161.4
Mo89,Mo89,87459.26307,478.84788,4.79E-07,不稳定,0.005475096,2.11 分钟,126.6
Ag106,Ag106,86368.94516,41.643288,4.16E-08,不稳定,0.000482156,23.96 分钟,1437.6
Pb211,Pb-211,85349.16555,27.312804,2.73E-08,不稳定,0.000320013,36.10 分钟,2166
Ag112,Ag-112,81135.90524,4.991047564,4.99E-09,不稳定,6.15E-05,3.13 小时,11268
Ag115,Ag115,80738.67595,46.636488,4.66E-08,不稳定,0.000577623,20.00 分钟,1200
In106,In106,78249.08937,145.80144,1.46E-07,不稳定,0.001863299,6.20 分钟,372
Sr85m,Sr-85m,74113.71104,12.6599906,1.27E-08,不稳定,0.000170818,1.13 小时,4057.8
Ag117,Ag117,73696.37317,694.0548,6.94E-07,不稳定,0.009417761,1.23 分钟,73.6
Pd114,Pd114,68301.98076,326.05596,3.26E-07,不稳定,0.004773741,2.42 分钟,145.2
In117,In-117,67116.57302,17.94817259,1.79E-08,不稳定,0.000267418,43.20 分钟,2592
Ag104m,Ag-104m,60378.95791,20.821644,2.08E-08,不稳定,0.000344849,33.50 分钟,2010
Gd162,Gd162,59905.67713,82.3878,8.24E-08,不稳定,0.001375292,8.40 分钟,504
Ag116,Ag116,57454.1259,247.66272,2.48E-07,不稳定,0.004310617,2.68 分钟,160.8
Tb162,Tb-162,54200.37454,82.3878,8.24E-08,不稳定,0.00152006,7.60 分钟,456
Br72,Br72,51977.89986,458.37576,4.58E-07,不稳定,0.008818666,1.31 分钟,78.6
Sr80,Sr80,47782.77358,5.192928,5.19E-09,不稳定,0.000108678,1.77 小时,6378
Tb147,Tb147,44231.65494,5.192928,5.19E-09,不稳定,0.000117403,1.64 小时,5904
Ba134,Ba-134,40320.86767,0,0,稳定,0,稳定,inf
Zr85,Zr85,39068.3561,57.4218,5.74E-08,不稳定,0.001469778,7.86 分钟,471.6
Se73m,Se-73m,35910.13114,10.42336941,1.04E-08,不稳定,0.000290263,39.80 分钟,2388
Sm147,Sm-147,32136.12655,6.66E-15,6.66E-24,不稳定,2.07E-19,106070337534.25 年,3.35E+18
Rh109,Rh109,30601.1684,265.13892,2.65E-07,不稳定,0.00866434,1.33 分钟,80
Ga74,Ga74,28217.38925,40.145328,4.01E-08,不稳定,0.001422716,8.12 分钟,487.2
Tb163,Tb163,26380.54115,15.628716,1.56E-08,不稳定,0.000592433,19.50 分钟,1170
Eu151,Eu-151,15189.80743,0,0,稳定,0,稳定,inf
In107,In107,14564.0815,5.192928,5.19E-09,不稳定,0.000356557,32.40 分钟,1944
In121,In121,12713.31592,381.48048,3.81E-07,不稳定,0.030006371,23.10 秒,23.1
Kr75,Kr75,11607.43811,31.257432,3.13E-08,不稳定,0.002692879,4.29 分钟,257.4
Gd142,Gd142,10518.50331,103.85856,1.04E-07,不稳定,0.009873891,1.17 分钟,70.2
Ba137m,Ba-137m,10395.49256,47.05855772,4.71E-08,不稳定,0.004526823,2.55 分钟,153.12
In119,In-119,9460.750757,45.53953273,4.55E-08,不稳定,0.004813522,2.40 分钟,144
Gd144,Gd144,8056.535578,20.821644,2.08E-08,不稳定,0.002584441,4.47 分钟,268.2
Co62,Co62,7455.793149,57.4218,5.74E-08,不稳定,0.007701635,1.50 分钟,90
Cu69,Cu69,7390.960165,29.9592,3.00E-08,不稳定,0.004053492,2.85 分钟,171
Rh106,Rh-106,6584.103261,153.1460608,1.53E-07,不稳定,0.023259973,29.80 秒,29.8
Sb111,Sb111,6213.160957,57.4218,5.74E-08,不稳定,0.009241962,1.25 分钟,75
Rb81m,Rb-81m,5552.293579,2.103036415,2.10E-09,不稳定,0.000378769,30.50 分钟,1830
Zn71,Zn71,5294.693685,24.966,2.50E-08,不稳定,0.004715287,2.45 分钟,147
In106m,In-106m,4697.365794,10.435788,1.04E-08,不稳定,0.002221626,5.20 分钟,312
Po214,Po-214,4391.015537,18524772,0.018524772,不稳定,4218.7899,1.64e-04 秒,0.0001643
Zr89m,Zr-89m,3268.07347,9.073363421,9.07E-09,不稳定,0.002776365,4.16 分钟,249.66
Br73,Br73,3071.354557,10.435788,1.04E-08,不稳定,0.00339778,3.40 分钟,204
Tb164,Tb164,2710.018727,10.435788,1.04E-08,不稳定,0.003850818,3.00 分钟,180
Ag114,Ag-114,2163.836856,326.05596,3.26E-07,不稳定,0.15068417,4.60 秒,4.6
Mn57,Mn57,1925.554029,15.628716,1.56E-08,不稳定,0.008116478,1.42 分钟,85.4
Tb165,Tb165,1906.046505,10.435788,1.04E-08,不稳定,0.005475096,2.11 分钟,126.6
Sn106,Sn106,1734.411985,10.435788,1.04E-08,不稳定,0.006016903,1.92 分钟,115.2
Cr55,Cr55,1571.931883,5.192928,5.19E-09,不稳定,0.003303532,3.50 分钟,209.82
In118,In-118,1568.237844,217.403928,2.17E-07,不稳定,0.138629436,5.00 秒,5
Dy165m,Dy-165m,1010.911023,9.290773341,9.29E-09,不稳定,0.009190496,1.26 分钟,75.42
Nb93m,Nb-93m,847.2021452,1.15E-06,1.15E-15,不稳定,1.36E-09,16.14 年,509013217.7
Bi212,Bi-212,813.9152953,0.155288492,1.55E-10,不稳定,0.000190792,1.01 小时,3633
Bi215,Bi-215,762.8316465,1.159549572,1.16E-09,不稳定,0.00152006,7.60 分钟,456
Rh104,Rh104,636.8544009,10.435788,1.04E-08,不稳定,0.016386458,42.30 秒,42.3
Bi214,Bi-214,614.8610775,0.356942397,3.57E-10,不稳定,0.000580525,19.90 分钟,1194
Pr144m,Pr-144m,389.2158879,0.624499758,6.24E-10,不稳定,0.001604507,7.20 分钟,432
Eu142,Eu-142,350.616777,103.85856,1.04E-07,不稳定,0.296216744,2.34 秒,2.34
Mo91m,Mo-91m,328.0155013,3.519551391,3.52E-09,不稳定,0.010729833,1.08 分钟,64.6
Eu144,Eu-144,306.4006819,20.821644,2.08E-08,不稳定,0.067955606,10.20 秒,10.2
Rb80,Rb-80,250.2265032,5.192928,5.19E-09,不稳定,0.02075291,33.40 秒,33.4
At219,At-219,154.8140125,1.916230291,1.92E-09,不稳定,0.012377628,56.00 秒,56
Kr81m,Kr-81m,93.77852424,4.962009135,4.96E-09,不稳定,0.052911999,13.10 秒,13.1
Cu57,Cu57,92.28282266,325.856232,3.26E-07,不稳定,3.531060522,1.96e-01 秒,0.1963
At218,At-218,90.96168472,42.03322354,4.20E-08,不稳定,0.46209812,1.50 秒,1.5
In111m,In-111m,79.39748682,0.119121524,1.19E-10,不稳定,0.001500319,7.70 分钟,462
Pb210,Pb-210,45.27895156,4.48E-08,4.48E-17,不稳定,9.89E-10,22.21 年,700563759
Bi213,Bi-213,2.48252008,0.000629068,6.29E-13,不稳定,0.000253399,45.59 分钟,2735.4
Sb126m,Sb-126m,0.708225734,0.000427245,4.27E-13,不稳定,0.000603261,19.15 分钟,1149
Ba135,Ba-135,0.677239314,0,0,稳定,0,稳定,inf
Br79,Br-79,0.144841538,0,0,稳定,0,稳定,inf
At217,At-217,2.93E-05,0.000629143,6.29E-13,不稳定,21.45966503,3.23e-02 秒,0.0323
Tl208,Tl-208,8.49E-10,3.21E-12,3.21E-21,不稳定,0.003783968,3.05 分钟,183.18
Tl210,Tl-210,4.26E-13,3.79E-15,3.79E-24,不稳定,0.008886502,1.30 分钟,78
Po212,Po-212,2.47E-18,5.73E-12,5.73E-21,不稳定,2318217.995,2.99e-07 秒,2.99E-07
Bi211,Bi-211,0,0,0,不稳定,0.005398343,2.14 分钟,128.4
Pm143,Pm-143,0,0,0,不稳定,3.03E-08,265.00 天,22896000
Cd111,Cd-111,0,0,0,稳定,0,稳定,inf
Cd111m,Cd-111m,0,0,0,不稳定,0.000238195,48.50 分钟,2910
Tl209,Tl-209,0,0,0,不稳定,0.005345883,2.16 分钟,129.66
Y87,Y-87,0,0,0,不稳定,2.41E-06,3.33 天,287280
Sn115,Sn-115,0,0,0,稳定,0,稳定,inf
Pm142,Pm-142,0,0,0,不稳定,0.017114745,40.50 秒,40.5
Xe129,Xe-129,0,0,0,稳定,0,稳定,inf
In115,In-115,0,0,0,不稳定,4.98E-23,441292630684931.50 年,1.39E+22
Kr81,Kr-81,0,0,0,不稳定,9.59E-14,229151.96 年,7.22654E+12
Hg206,Hg-206,0,0,0,不稳定,0.001417479,8.15 分钟,489
Pb208,Pb-208,0,0,0,稳定,0,稳定,inf
Po213,Po-213,0,0,0,不稳定,165035.043,4.20e-06 秒,4.20E-06
Cr53,Cr-53,0,0,0,稳定,0,稳定,inf
Bi210,Bi-210,0,0,0,不稳定,1.60E-06,5.01 天,433123.2
Sn117m,Sn-117m,0,0,0,不稳定,5.83E-07,13.76 天,1188864
Nb93,Nb-93,-0.039555506,0,0,稳定,0,稳定,inf
Sr87,Sr-87,-1252231,0,0,稳定,0,稳定,inf
Nd144,Nd-144,-2249535871,-2.16E-14,-2.16E-23,不稳定,9.59E-24,2291519556164383.50 年,7.23E+22
